gene_ID	CV.TPM	CV.logTPM	rank
Crpow_TRINITY_DN10002_c1_g1	1.4024013073795831	0.8835535052009598	31823
Crpow_TRINITY_DN100051_c0_g1	2.82842712474619	2.8284271247461903	38689
Crpow_TRINITY_DN100060_c1_g1	1.4125316365986895	1.302427877981573	35174
Crpow_TRINITY_DN10007_c0_g2	1.2629693489357017	1.132541468764891	34154
Crpow_TRINITY_DN100096_c1_g1	2.0597282994770665	1.7495483355358206	36533
Crpow_TRINITY_DN100137_c0_g1	1.2782161011980175	1.0368303750533403	33424
Crpow_TRINITY_DN100148_c0_g1	1.3490245343071183	0.8953629068040241	31939
Crpow_TRINITY_DN10015_c0_g1	2.179433690362469	1.7096010746745818	36442
Crpow_TRINITY_DN100163_c0_g1	1.1640937912300362	0.9964130334806336	32987
Crpow_TRINITY_DN100216_c2_g1	1.0410294088699934	0.9184175011509527	32200
Crpow_TRINITY_DN100259_c0_g1	2.7836065531394927	2.5113117410940395	37830
Crpow_TRINITY_DN100283_c0_g1	1.2311491001137784	1.0967295691232641	33887
Crpow_TRINITY_DN100287_c0_g1	1.0098000298015273	0.8500159375869863	31412
Crpow_TRINITY_DN10031_c0_g1	1.1115126718898822	0.9674164799257885	32693
Crpow_TRINITY_DN100336_c1_g1	1.4006465611257288	1.0243913173634804	33287
Crpow_TRINITY_DN100336_c2_g1	1.3994047755249053	1.3417860828670876	35376
Crpow_TRINITY_DN10033_c2_g1	1.2067169528502701	0.9621949463311731	32635
Crpow_TRINITY_DN100369_c0_g1	1.1020681798475898	0.8271485225847288	31141
Crpow_TRINITY_DN100369_c0_g2	1.373929870629745	1.1357575136521074	34182
Crpow_TRINITY_DN100407_c0_g1	1.4248937267948996	0.9909355255149089	32938
Crpow_TRINITY_DN100407_c2_g1	1.2714300148254933	0.8404337985340733	31296
Crpow_TRINITY_DN100423_c0_g1	2.8284271247461903	2.82842712474619	38397
Crpow_TRINITY_DN100423_c0_g2	2.82842712474619	2.82842712474619	38397
Crpow_TRINITY_DN100429_c0_g1	2.42151051431226	1.977656909507863	36984
Crpow_TRINITY_DN100466_c0_g1	1.7459493475326975	1.4029483845827357	35635
Crpow_TRINITY_DN10049_c1_g2	1.6382634694550045	1.4513218685628484	35820
Crpow_TRINITY_DN100526_c0_g2	2.162956028547433	1.4615026104991198	35856
Crpow_TRINITY_DN100526_c0_g4	2.3814484179216056	2.2348750952731695	37438
Crpow_TRINITY_DN10053_c1_g1	1.4118317681038357	1.2270063944763485	34732
