gene_ID	CV.TPM	rank
Crpow_TRINITY_DN100116_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN100174_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN100261_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN100307_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN100405_c1_g3	2.8284271247461903	78083
Crpow_TRINITY_DN100423_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN100842_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN100945_c1_g2	2.8284271247461903	78083
Crpow_TRINITY_DN101222_c2_g3	2.8284271247461903	78083
Crpow_TRINITY_DN101579_c1_g2	2.8284271247461903	78083
Crpow_TRINITY_DN101725_c7_g1	2.8284271247461903	78083
Crpow_TRINITY_DN101810_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN101919_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN101973_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN102000_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN102063_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN102120_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN102166_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN102265_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN102283_c0_g3	2.8284271247461903	78083
Crpow_TRINITY_DN102855_c0_g4	2.8284271247461903	78083
Crpow_TRINITY_DN103036_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN103151_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN10324_c1_g2	2.8284271247461903	78083
Crpow_TRINITY_DN103283_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN103670_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN103712_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN103755_c2_g3	2.8284271247461903	78083
Crpow_TRINITY_DN103928_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN103967_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN104269_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN104395_c1_g4	2.8284271247461903	78083
Crpow_TRINITY_DN104664_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN105040_c1_g2	2.8284271247461903	78083
Crpow_TRINITY_DN105337_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN105425_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN105988_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN106392_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN106737_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN106836_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN106932_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN106932_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN107427_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN107863_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN108162_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN108181_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN108233_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN109283_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN109463_c2_g2	2.8284271247461903	78083
Crpow_TRINITY_DN109868_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN109880_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN109964_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN1102_c8_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110678_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110701_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110732_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110751_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN110790_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110794_c0_g3	2.8284271247461903	78083
Crpow_TRINITY_DN110886_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110951_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN110963_c5_g1	2.8284271247461903	78083
Crpow_TRINITY_DN110988_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN111226_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN111289_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN111291_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN111896_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN112504_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN112535_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN112558_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN112915_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN113140_c1_g1	2.8284271247461903	78083
